id;name;address;lat;lng
ana-maria-balotesti;Farmacia Ana Maria Balotești;Sat Balotești, Șoseaua Unirii nr. 191, Ilfov;44.6222678;26.1071526
ana-maria-mogosoaia;Farmacia Ana Maria Mogoșoaia;Sat Mogoșoaia, București-Târgoviște nr. 123, Ilfov;44.5298094;25.9988803
ana-maria-ghermanesti;Farmacia Ana Maria Ghermănești;Sat Ghermănești, șoseaua Ghermănești nr. 86, Ilfov;44.6883448;26.1466349
ana-maria-peris;Farmacia Ana Maria Periș;Comuna Periș, Strada Principală nr. 510, Ilfov;44.6778281;25.9978772
ana-maria-pantelimon-4;Farmacia Ana Maria Pantelimon 4;Oraș Pantelimon, Strada Tudor Vladimirescu, nr. 21, Ilfov;44.4497913;26.2054063
ana-maria-tancabesti;Farmacia Ana Maria Tancabesti;Șoseaua Bucuresti – Ploiesti nr. 153, Sat Tancabesti, Comuna Snagov, Ilfov;44.6786777;26.0748606
ana-maria-corbeanca;Farmacia Ana Maria Corbeanca;Șoseaua Unirii, nr. 67A, Sat Petrești, Comuna Corbeanca, Ilfov;44.5988777;26.0585054
ana-maria-stefanesti;Farmacia Ana Maria Ștefănești;Șoseaua Ștefănești nr. 71, Comuna Ștefăneștii de Jos, Ilfov;44.529243;26.1995353
ana-maria-crevedia;Farmacia Ana Maria Crevedia;Sat Crevedia, Șoseaua București-Târgoviște nr. 119, Dâmbovița;44.6379158;25.6646129
ana-maria-branistea;Farmacia Ana Maria Braniștea;Strada Principală nr. 1385, Dâmbovița;44.6826296;25.5728181
ana-maria-targoviste;Farmacia Ana Maria Târgoviște;Bulevardul Independenței, nr. 16, bloc 8, parter, Târgoviște, Dâmbovița;44.922264;25.4637542
ana-maria-lunguletu;Farmacia Ana Maria Lungulețu;Strada Principală nr. 76A Sat Lungulețu, Comuna Lungulețu, Dâmbovița;44.6037787;25.6671524
ana-maria-voinesti;Farmacia Ana Maria Voinești;Strada Principală nr. 128, corp C2, Satul Voinești, Comuna Voinești, Dâmbovița;45.066227;25.252858
ana-maria-blejoi;Farmacia Ana Maria Blejoi;Comuna Blejoi, T23, Cc170/2, Prahova;44.9862983;26.0115855
ana-maria-filipestii-de-padure;Farmacia Ana Maria Filipeștii de Pădure;Filipeștii de Pădure, Sat Filipeștii de Pădure, Strada Principală nr. 630, Prahova;44.9961893;25.7401342
ana-maria-bolintin-deal;Farmacia Ana Maria Bolintin Deal;Comuna Bolintin Deal, Satul Bolintin Deal, în incinta Mega Image, Giurgiu;44.4496105;25.7547987
ana-maria-floresti;Farmacia Ana Maria Florești;Comuna Florești-Stoenești, Sat Florești, Strada Mihai Viteazul nr. 142, Giurgiu;44.5125208;25.6945579
